2026-08-27 19:15:08,403 - INFO - Starting Voucher Approval Utility...
2026-08-27 19:15:27,258 - INFO - Approved voucher GM4370 (5696) for 2210.0
2026-08-27 19:28:00,358 - INFO - Application shutting down by user...
2026-08-27 19:28:05,016 - INFO - Starting Voucher Approval Utility...
2026-08-27 19:28:07,209 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:08,795 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:10,348 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:11,921 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:13,435 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:15,534 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:18,036 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:19,676 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:21,156 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:22,637 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:24,089 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:25,575 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:27,031 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:28,526 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:30,033 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:31,552 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:33,245 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:35,417 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:40,426 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:42,543 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:44,012 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:45,487 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:46,940 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:48,424 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:49,900 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:51,169 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:52,873 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:54,402 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:28:56,721 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:01,467 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:03,074 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:04,565 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
2026-08-27 19:29:06,028 - ERROR - BFE Connection Lost during fetch: (-2147352567, 'Exception occurred.', (0, 'Microsoft JET Database Engine', 'No value given for one or more required parameters.', None, 5000000, -2147217904), None)
